summonerId1,summonerElo1,latence1,duration1,temps_exécution1,summonerId2,summonerElo2,latence2,duration2,temps_exécution2
6885,618,53,1,103,96940,624,36,1,112
12056,910,36,1,121,60895,904,41,1,183
37231,734,35,1,187,49371,726,51,1,109
40342,156,51,1,189,70983,148,62,1,190
8294,409,39,1,99,80691,410,47,1,193
8747,1295,37,3,627,76969,1312,32,1,284
15496,1175,40,1,179,102154,1166,39,1,143
50625,1929,40,2,467,57950,1928,29,1,291
54102,761,28,1,155,109634,774,43,1,264
57576,2071,35,2,427,110136,2074,36,1,296
65423,1595,35,2,396,114110,1602,46,1,135
76886,1333,32,1,164,84214,1332,43,1,305
81746,815,28,1,300,118076,814,39,1,255
103739,1742,36,1,313,107141,1734,35,1,236
10348,1388,27,1,267,95563,1381,32,1,204
10661,1750,38,1,180,57532,1754,25,1,164
12254,942,61,1,228,119874,933,54,1,359
34124,1509,55,1,370,94320,1514,43,2,590
41476,1472,62,3,821,120737,1469,46,1,156
47831,2206,54,1,353,69120,2198,57,2,526
50003,972,61,2,661,117749,971,59,1,323
50316,1800,27,1,177,120410,1784,28,1,268
53080,867,50,3,842,116401,874,48,1,168
53453,1493,26,1,389,79709,1493,18,1,391
56573,690,47,2,663,114284,694,62,1,232
62893,658,61,1,324,83447,656,76,1,353
68205,956,41,2,526,88835,950,47,1,257
73780,1917,35,1,412,74926,1934,40,1,411
77315,1788,48,1,323,120257,1780,38,1,408
78977,1160,45,3,808,90140,1167,28,1,206
79978,1656,58,3,793,86949,1669,65,1,423
81289,1442,19,1,424,113395,1437,21,1,419
81684,490,69,1,272,121610,501,58,2,626
82363,554,41,2,703,106265,545,50,1,427
83691,1339,35,1,289,103049,1347,50,2,654
83714,1211,47,2,708,117554,1210,48,1,360
86066,818,31,1,347,105268,831,41,1,416
93642,617,56,1,217,98823,623,63,1,223
93657,803,39,1,440,114608,801,55,2,567
96179,335,42,1,226,116511,316,44,1,444
96917,1006,19,2,723,112470,996,32,1,456
102884,1293,32,1,460,121670,1296,40,1,379
104737,1120,28,1,460,117067,1114,24,2,604
5120,817,40,1,472,105131,803,33,3,1109
7945,706,43,1,447,101412,688,40,2,622
9037,951,60,1,137,83243,964,69,2,825
9799,2348,45,1,449,51252,2361,43,4,1220
12775,1064,21,4,1290,49957,1059,18,1,487
12814,1252,55,1,270,116150,1261,61,1,186
12978,1421,42,1,134,103646,1432,58,1,341
13296,633,41,1,451,116582,640,42,1,491
14969,1547,50,4,1295,106365,1545,69,1,162
16115,1645,44,1,495,93155,1630,42,1,313
36529,2172,25,1,324,110883,2191,24,1,484
36803,1515,26,1,274,89863,1533,18,2,847
38635,1356,75,3,1031,109199,1361,62,1,496
38871,1531,48,1,444,88640,1528,43,2,725
39605,778,70,1,320,118770,769,77,1,207
48109,1656,23,1,410,68633,1652,28,1,374
49053,1282,28,1,215,111482,1279,25,2,755
53378,1154,67,1,394,86750,1147,60,2,722
55080,306,77,3,1066,60242,309,68,1,526
57530,1149,26,1,343,74640,1155,23,1,277
57547,1108,55,1,493,84721,1113,48,1,409
57946,997,31,1,230,80353,983,42,1,215
59928,405,58,2,833,112288,412,43,1,506
60075,844,71,2,755,62622,845,57,1,293
60198,1852,48,1,295,90306,1863,54,1,246
60955,915,24,1,551,81503,919,26,2,894
62108,2066,38,2,697,87117,2054,28,1,501
63387,1670,26,4,1359,71544,1667,44,1,555
65214,1162,22,1,353,113380,1173,16,1,525
65495,872,29,3,1160,112259,878,34,1,454
67500,1021,51,2,917,78011,1004,42,1,264
67718,1910,29,1,253,100864,1901,29,1,232
73361,850,31,1,500,104681,864,39,1,574
75801,1626,23,1,496,110486,1616,18,1,374
75834,593,82,2,767,86471,591,69,1,580
81301,1396,33,2,938,82163,1380,31,1,549
88626,1829,39,1,483,95102,1830,45,2,875
89169,909,53,3,1156,124572,893,58,1,309
93239,1775,33,3,1149,98584,1786,34,2,891
95622,883,40,1,394,122392,898,47,1,616
98644,737,88,2,757,122842,750,83,1,437
101152,550,68,2,950,117085,562,75,1,478
101557,306,47,2,779,121271,308,39,1,639
102599,1459,57,2,786,118909,1460,53,2,913
103210,2090,45,1,487,119490,2097,28,1,567
106473,1131,41,1,460,113438,1122,38,2,974
106788,1062,45,1,355,121619,1065,58,2,1001
111933,291,32,1,565,123488,288,27,1,490
116397,1174,47,1,678,118175,1191,52,1,680
5623,1607,70,5,1819,110854,1623,68,1,182
6934,1090,29,1,421,125164,1104,40,1,351
8088,642,30,1,546,117259,658,29,1,365
8733,936,49,1,278,104198,919,41,1,544
10799,1357,38,1,546,118690,1346,24,1,411
11062,1623,43,1,213,40667,1636,37,4,1485
11695,1447,40,1,167,115020,1448,27,1,394
12522,1087,69,1,408,85228,1095,52,1,523
13083,2133,54,1,268,117560,2129,55,3,1220
13981,1626,24,1,560,92502,1636,25,2,780
15832,136,42,2,681,106750,130,29,1,427
34511,948,30,1,388,98754,936,38,3,1313
40038,2533,31,1,509,120197,2532,31,2,831
40952,689,111,1,489,110591,673,100,1,205
41096,970,41,1,450,73736,969,59,1,409
41196,1577,46,5,1859,106992,1581,29,1,204
47829,1519,73,5,1861,74821,1505,66,1,332
48060,1544,47,2,936,119752,1537,52,1,449
48203,569,51,1,423,67436,581,48,3,1406
48890,1206,17,1,320,102972,1222,22,2,942
49736,684,43,2,989,115119,699,56,1,472
52220,1033,29,1,594,124519,1043,41,1,598
56620,1316,38,2,935,118044,1317,35,1,603
58146,446,41,2,927,65456,447,41,1,486
58917,1911,41,1,613,81304,1918,38,2,1021
60299,2533,57,1,465,91272,2532,66,1,617
60310,1944,24,1,590,111788,1942,23,3,1440
61898,1178,31,1,618,105425,1168,16,1,620
63350,553,34,1,216,55088,571,37,1,539
66506,1892,30,1,423,88286,1894,24,3,1457
66675,1473,26,1,333,101020,1484,28,1,457
67806,485,47,1,370,123208,476,47,2,978
69028,1986,28,2,974,92979,1994,22,1,251
69614,860,59,1,637,96802,872,47,1,524
72031,1214,46,1,462,86597,1213,61,1,644
73265,1069,31,1,576,105182,1083,39,2,1124
77211,1133,63,1,631,89744,1124,52,1,529
77519,333,50,2,928,118641,346,38,1,499
78835,1297,28,1,636,107479,1285,33,2,1141
80332,419,51,1,639,111010,406,51,1,666
80391,1183,81,2,1142,125017,1177,83,1,417
80460,196,41,2,1142,98068,190,35,1,426
81559,1131,45,1,614,102841,1144,43,1,413
81717,1427,56,1,677,99931,1419,53,3,1445
82413,917,67,1,565,26965,906,52,1,612
85450,893,45,1,272,96722,881,56,2,982
87034,832,38,4,1628,89740,838,50,1,695
88073,799,104,1,631,109603,794,116,4,1803
88177,1695,60,1,329,98087,1696,49,3,1460
88184,1601,97,1,441,89380,1615,89,1,699
88712,1498,36,2,1179,107196,1509,38,1,348
93679,149,32,1,333,122122,162,25,2,894
94714,1198,33,3,1477,117462,1191,49,1,556
95005,1363,45,1,383,112675,1373,39,1,721
96119,1678,45,1,611,119876,1686,39,1,461
97166,1171,50,1,736,104735,1170,34,1,344
101639,2101,39,1,405,106353,2102,25,3,1572
106266,1879,54,1,360,124295,1880,61,1,738
109127,1597,27,2,1037,123057,1604,33,1,667
120651,630,73,1,703,123615,617,75,1,804
37276,275,114,5,2223,80776,230,26,5,2222
6818,1190,188,5,2225,77403,1089,68,5,2219
41126,593,23,5,2226,59611,1410,18,5,2222
5251,1631,54,1,301,124066,1625,59,1,618
8596,1886,81,2,1256,120614,1889,76,1,721
9465,1730,59,1,233,34253,1727,55,4,1944
10148,1605,26,1,726,73425,1610,40,1,523
11090,1098,37,2,1138,114189,1097,35,2,1056
11860,410,92,1,248,54519,421,85,3,1741
12746,1013,27,1,485,83492,1018,41,2,1151
12752,1736,30,1,635,95623,1727,27,4,1917
14596,1054,43,1,664,122250,1054,26,1,415
15432,922,42,1,439,116847,908,37,1,312
24421,918,39,1,745,126927,900,47,1,746
31803,688,78,3,1564,112679,690,63,1,365
32577,362,42,1,516,106490,346,31,3,1507
37470,940,76,1,166,124188,949,69,1,749
39230,1050,51,1,434,118250,1057,51,2,938
40447,1326,26,1,311,127612,1336,37,1,433
40666,1499,18,1,276,92942,1511,31,1,762
48604,924,71,1,311,99846,928,76,1,767
48722,1808,67,2,1048,120745,1811,73,1,318
49969,1704,25,2,1311,104461,1698,39,1,677
50974,1573,32,2,1079,127526,1571,46,1,379
51088,1301,57,2,886,126211,1288,59,1,296
55653,629,45,1,556,111439,619,34,1,693
56158,972,65,4,2154,123234,974,52,1,515
56340,1120,44,2,980,108357,1121,45,1,640
56821,1362,51,1,223,80707,1353,38,1,725
58459,1644,38,2,1072,116414,1643,45,1,739
60502,925,24,1,771,102162,931,32,1,395
