summonerId1,summonerElo1,latence1,duration1,temps_exécution1,summonerId2,summonerElo2,latence2,duration2,temps_exécution2
41126,593,23,0,17,12572,611,42,0,0
54799,1326,30,0,181,83442,1310,32,0,1
92848,1001,38,0,13,91175,1018,41,0,0
10603,1612,28,0,272,8542,1608,35,0,0
83492,1018,41,0,58,48720,1006,38,0,0
102884,1293,32,0,5,76969,1312,32,0,0
40856,1330,42,0,62,76886,1333,32,0,0
106493,2100,24,0,31,63485,2110,24,0,0
67748,901,59,0,122,107504,912,74,0,0
60612,681,76,0,41,31803,688,78,0,0
86597,1213,61,0,187,7498,1215,58,0,0
64207,1408,38,0,167,99931,1419,53,0,1
87061,1378,26,0,226,111559,1378,39,0,1
12056,910,36,0,10,122398,908,47,0,0
73736,969,59,0,60,50003,972,61,0,0
94074,1146,39,0,35,122964,1135,53,0,1
86581,1328,31,0,46,120791,1311,36,0,0
33691,829,30,0,81,105268,831,41,0,0
55561,703,55,0,97,56573,690,47,0,0
118285,888,47,0,60,96722,881,56,0,0
15982,1909,33,0,440,67718,1910,29,0,0
82061,1175,38,0,73,65214,1162,22,0,1
103842,1190,62,0,303,74726,1174,52,0,0
94597,964,38,0,291,122599,954,37,0,0
118846,1641,37,0,41,5251,1631,54,0,0
53453,1493,26,0,591,118154,1501,29,0,0
60054,716,20,0,87,108413,719,21,0,1
41476,1472,62,0,79,120737,1469,46,0,0
75647,1269,45,0,516,107479,1285,33,0,1
70862,1380,42,0,53,81754,1381,40,0,0
78835,1297,28,0,184,120964,1303,46,0,0
10111,2271,53,0,4,6960,2255,37,0,1
121256,942,38,0,1,107901,939,27,0,0
62731,1959,37,0,33,7176,1946,28,0,0
84238,770,32,0,230,103758,769,27,0,1
109477,899,59,0,124,71892,893,48,0,0
121956,1326,85,0,238,60152,1340,76,0,0
95881,978,39,0,123,102527,959,49,0,1
55088,571,37,0,57,116991,590,45,0,0
108098,2097,42,0,221,119490,2097,28,0,0
8698,847,63,0,723,66635,850,47,0,0
5125,1438,83,0,372,81125,1426,75,0,0
122820,1568,36,0,234,112096,1579,33,0,1
123110,1095,56,0,225,14277,1102,38,0,0
119907,680,35,0,67,53454,661,30,0,0
10940,1702,18,0,194,107332,1698,37,0,0
41361,1608,27,0,297,65423,1595,35,0,0
