summonerId1Team1,summonerElo1Team1,latence1Team1,duration1Team1,temps_exécution1Team1,summonerId2Team1,summonerElo2Team1,latence2Team1,duration2Team1,temps_exécution2Team1,summonerId3Team1,summonerElo3Team1,latence3Team1,duration3Team1,temps_exécution3Team1,summonerId4Team1,summonerElo4Team1,latence4Team1,duration4Team1,temps_exécution4Team1,summonerId5Team1,summonerElo5Team1,latence5Team1,duration5Team1,temps_exécution5Team1,summonerId1Team2,summonerElo1Team2,latence1Team2,duration1Team2,temps_exécution1Team2,summonerId2Team2,summonerElo2Team2,latence2Team2,duration2Team2,temps_exécution2Team2,summonerId3Team2,summonerElo3Team2,latence3Team2,duration3Team2,temps_exécution3Team2,summonerId4Team2,summonerElo4Team2,latence4Team2,duration4Team2,temps_exécution4Team2,summonerId5Team2,summonerElo5Team2,latence5Team2,duration5Team2,temps_exécution5Team2
52061,1055,64,0,183,73639,1062,58,0,1541,39230,1050,51,0,1258,73952,1058,45,0,1597,14925,1079,61,0,1253,47856,1053,65,0,1481,72184,1059,49,0,1,118181,1070,40,0,153,61424,1057,59,0,445,64115,1075,50,0,69
38399,1158,24,0,460,28910,1144,26,0,1939,5636,1145,39,0,264,39947,1150,39,0,316,76136,1149,19,0,0,10460,1152,35,0,984,119009,1159,28,0,1514,78416,1142,23,0,703,48524,1148,36,0,1115,60416,1143,26,0,1709
114959,793,59,0,1690,48710,788,41,0,1163,81373,787,46,0,0,99001,780,54,0,130,118770,769,77,0,919,5333,788,47,0,977,65799,791,59,0,850,113079,797,46,0,586,93011,787,56,0,1386,87875,770,56,0,1282
77403,1089,68,0,0,39634,1114,65,0,896,71077,1092,45,0,570,112945,1111,76,0,1081,103771,1109,41,0,1792,115187,1106,50,0,885,12522,1087,69,0,879,107952,1093,45,0,348,59887,1117,73,0,313,90239,1102,69,0,1474
96212,808,45,0,1322,61709,825,40,0,1739,111364,808,73,0,934,58381,822,67,0,179,90359,835,43,0,55,40430,819,53,0,82,14418,829,74,0,824,108606,819,45,0,1179,41316,800,74,0,472,53365,805,51,0,0
84837,890,62,0,2147,14184,904,43,0,701,121632,886,47,0,1,85450,893,45,0,1599,112815,915,61,0,1769,108251,898,61,0,625,109477,899,59,0,1333,71892,893,48,0,1286,118285,888,47,0,1406,122398,908,47,0,1761
11090,1098,37,0,1729,51056,1119,21,0,235,52599,1116,38,0,1351,122326,1095,18,0,149,34314,1114,24,0,1558,53431,1113,29,0,1516,6934,1090,29,0,482,106976,1118,39,0,1674,84013,1101,25,0,1008,117646,1091,26,0,0
56340,1120,44,0,935,113900,1159,66,0,1806,86750,1147,60,0,936,71299,1124,58,0,1037,81302,1155,51,0,771,81559,1131,45,0,760,52056,1151,48,0,1285,103280,1133,45,0,0,89047,1136,59,0,846,46311,1151,76,0,986
86597,1213,61,0,1809,57865,1224,65,0,334,88859,1202,44,0,0,83714,1211,47,0,1594,114421,1229,54,0,1746,7498,1215,58,0,535,73092,1220,43,0,431,72031,1214,46,0,1783,71890,1232,49,0,1689,12648,1206,42,0,1731
49053,1282,28,0,1948,83442,1310,32,0,777,39092,1315,34,0,2115,84828,1312,39,0,0,8747,1295,37,0,1870,99102,1282,25,0,910,102884,1293,32,0,125,34904,1318,19,0,677,90146,1319,32,0,1439,38698,1315,37,0,676
