summonerId1,summonerElo1,latence1,duration1,temps_exécution1,summonerId2,summonerElo2,latence2,duration2,temps_exécution2
12288,556,32,0,0,36832,1717,51,0,0
39198,1626,43,0,3,55561,703,55,0,0
57530,1149,26,0,14,54443,1299,49,0,0
58965,2133,22,0,2,64289,116,77,0,0
5902,340,52,0,43,41189,798,30,0,0
81304,1918,38,0,10,15132,676,44,0,0
32577,362,42,0,3,23757,508,30,0,0
76343,1065,42,0,17,86825,987,46,0,0
37742,1689,49,0,30,89041,996,39,0,0
96858,1492,50,0,2,12843,1322,22,0,0
81272,1510,29,0,1,14925,1079,61,0,0
48062,1677,39,0,4,94258,1030,55,0,0
91920,1680,42,0,12,40952,689,111,0,0
92424,990,93,0,2,81684,490,69,0,0
48524,1148,36,0,4,31781,1046,48,0,0
14184,904,43,0,3,32165,996,45,0,0
63538,1769,34,0,3,82413,917,67,0,0
81382,894,75,0,8,62620,937,50,0,0
111266,2031,27,0,4,113340,1312,27,0,0
33481,600,50,0,0,71593,765,33,0,0
114496,1293,38,0,16,58459,1644,38,0,0
116751,969,45,0,0,60416,1143,26,0,0
40736,758,29,0,3,73425,1610,40,0,0
50733,448,41,0,2,77519,333,50,0,0
81289,1442,19,0,1,64126,268,51,0,0
100412,680,59,0,4,67806,485,47,0,0
97256,1692,36,0,13,57066,2379,31,0,0
64580,2452,43,0,1,54852,681,34,0,0
119851,2113,45,0,0,57946,997,31,0,0
70188,930,55,0,8,12338,835,31,0,1
116334,851,66,0,4,74563,875,83,0,0
83501,1668,37,0,1,123538,1270,60,0,0
117495,2209,30,0,3,95055,1764,41,0,0
91634,556,76,0,9,83877,1634,65,0,0
99557,201,119,0,0,104936,2376,44,0,0
117489,722,97,0,6,93011,787,56,0,0
97402,103,28,0,1,71817,116,204,0,0
38042,1327,36,0,8,34124,1509,55,0,0
74190,904,58,0,22,33866,752,35,0,0
74332,890,102,0,3,96270,190,24,0,1
99917,1458,68,0,3,110758,1244,74,0,0
13981,1626,24,0,8,82754,1423,15,0,0
71077,1092,45,0,15,80112,2406,44,0,0
123083,1717,50,0,0,71226,1543,25,0,0
92084,586,71,0,9,88903,1014,39,0,0
74708,2175,44,0,0,67918,983,69,0,0
104838,1887,19,0,1,6513,1157,59,0,0
63485,2110,24,0,12,72936,1076,100,0,0
14597,637,49,0,16,95235,1610,52,0,0
117707,1482,51,0,6,114203,654,89,0,0
99846,928,76,0,0,74666,1091,39,0,0
55085,137,45,0,0,123885,1439,32,0,0
48604,924,71,0,13,86878,1252,32,0,0
106266,1879,54,0,2,109127,1597,27,0,0
123291,534,62,0,3,84744,705,54,0,0
98058,2022,42,0,0,70147,1458,25,0,0
100143,889,43,0,3,114052,803,64,0,0
47737,858,96,0,8,63112,750,32,0,0
48517,697,70,0,2,111492,697,55,0,0
12522,1087,69,0,1,53378,1154,67,0,0
33691,829,30,0,1,77347,828,33,0,0
49591,457,105,0,5,57596,516,16,0,0
70070,935,70,0,0,124519,1043,41,0,0
114361,1090,28,0,22,77840,838,37,0,0
34164,851,18,0,10,81452,1353,45,0,0
94320,1514,43,0,12,91199,764,47,0,0
52618,374,38,0,18,117066,2106,24,0,0
117132,1357,30,0,0,105621,622,61,0,0
107574,1068,52,0,1,120852,785,28,0,0
110208,1137,41,0,3,39634,1114,65,0,0
107547,463,24,0,9,68687,964,55,0,0
95898,1140,57,0,23,73278,663,90,0,0
66506,1892,30,0,6,114060,980,36,0,0
74476,415,38,0,1,100361,2344,18,0,0
61740,926,20,0,9,62667,1255,27,0,0
64293,730,63,0,11,6980,1045,52,0,0
75038,698,71,0,2,97187,1513,34,0,0
68102,1496,51,0,3,94878,1403,59,0,0
101073,1787,52,0,1,120257,1780,38,0,0
121526,2164,39,0,4,67585,1773,42,0,0
82860,2366,48,0,0,33500,1805,45,0,0
119181,1325,50,0,9,60487,2248,29,0,0
106653,1163,31,0,27,32125,1327,51,0,0
32898,1387,32,0,0,81301,1396,33,0,0
94187,1588,33,0,4,103969,1057,104,0,0
88195,1178,29,0,2,77027,379,62,0,0
99654,854,34,0,4,96843,1965,51,0,0
76390,1178,41,0,4,120606,1190,35,0,0
53456,1007,59,0,1,92610,872,43,0,0
121632,886,47,0,9,79926,590,31,0,0
54102,761,28,0,0,56287,756,17,0,0
63131,800,78,0,12,65460,1596,41,0,0
109037,1779,26,0,0,71285,354,32,0,0
110392,1773,84,0,1,116941,1299,68,0,0
14537,958,87,0,0,73665,664,33,0,0
118690,1346,24,0,1,77227,553,59,0,0
76889,1213,55,0,3,64207,1408,38,0,0
91058,804,80,0,0,125862,2042,76,0,0
84224,1126,39,0,1,6652,916,33,0,0
109631,1751,56,0,0,83284,995,52,0,0
74973,1101,36,0,2,113002,1427,36,0,0
77841,937,51,0,9,109837,1841,11,0,0
41361,1608,27,0,3,121670,1296,40,0,0
55119,1310,19,0,3,94936,1560,54,0,0
60204,1157,90,0,2,124817,789,60,0,0
111440,1476,72,0,14,67695,1773,36,0,1
92820,1522,53,0,16,123966,1728,58,0,0
112809,701,90,0,1,127286,916,22,0,0
98826,1916,83,0,0,92086,1789,48,0,0
68124,383,63,0,1,63711,900,44,0,0
68349,963,30,0,1,114206,1265,19,0,0
90359,835,43,0,2,125164,1104,40,0,0
116366,1962,43,0,1,118229,848,32,0,1
122018,1652,56,0,1,121225,606,53,0,0
55932,1229,31,0,1,81754,1381,40,0,0
93876,1726,19,0,0,80691,410,47,0,0
113602,1669,51,0,1,101557,306,47,0,1
68996,1081,44,0,1,115226,917,29,0,0
107874,1236,40,0,0,126315,1605,82,0,0
105831,1152,41,0,0,94314,1166,26,0,0
112679,690,63,0,1,92359,2525,35,0,0
82246,1657,63,0,0,8646,713,31,0,0
12484,788,40,0,0,84730,758,61,0,0
7074,1245,45,0,2,92870,476,48,0,0
123879,1330,49,0,0,76943,1293,138,0,0
125920,2453,54,0,25,108320,2311,17,0,0
124572,893,58,0,8,90045,1629,32,0,0
110847,1383,24,0,1,103795,878,50,0,0
123466,1067,55,0,5,106992,1581,29,0,0
10420,475,15,0,2,80882,355,53,0,1
68640,2365,36,0,10,102354,1678,43,0,0
101352,838,90,0,0,99575,1163,25,0,0
127335,2485,34,0,3,75801,1626,23,0,0
92276,1000,43,0,1,51341,660,42,0,0
91600,1685,96,0,30,79299,944,38,0,0
97166,1171,50,0,0,82637,957,44,0,0
88014,2118,24,0,0,107750,1149,67,0,0
73738,1661,27,0,0,88468,786,84,0,0
67950,1459,57,0,15,88958,963,40,0,0
97510,1784,50,0,1,106366,594,72,0,0
111464,589,44,0,0,107754,1162,65,0,0
50121,1239,98,0,1,121145,1062,19,0,0
68611,714,67,0,0,87068,1674,16,0,0
90110,858,21,0,1,76154,1827,20,0,0
114430,1002,18,0,0,80353,983,42,0,0
79725,2200,89,0,2,93657,803,39,0,0
112722,2194,49,0,1,110883,2191,24,0,0
63387,1670,26,0,0,56301,726,37,0,0
88859,1202,44,0,1,77117,1459,16,0,0
6178,819,67,0,0,74266,1813,58,0,0
110929,492,60,0,0,95005,1363,45,0,0
11164,1160,44,0,0,120419,1876,39,0,0
80460,196,41,0,0,100386,619,134,0,0
72308,1320,53,0,1,104945,578,83,0,0
118644,404,37,0,1,112470,996,32,0,0
102563,1727,101,0,1,108429,1630,43,0,0
60242,309,68,0,0,115202,1947,60,0,0
97513,625,107,0,2,86471,591,69,0,0
126796,2028,53,0,1,107299,293,81,0,0
5125,1438,83,0,2,112878,1864,32,0,0
91272,2532,66,0,2,95720,430,100,0,0
12254,942,61,0,0,71788,127,29,0,0
78702,1401,87,0,0,126331,1536,27,0,0
127405,1224,46,0,0,41001,1623,36,0,0
114058,820,35,0,8,107648,2143,39,0,0
67965,883,45,0,7,119876,1686,39,0,0
97363,1390,24,0,1,82389,1801,52,0,0
120200,1244,52,0,0,69397,1097,17,0,0
87061,1378,26,0,5,85358,1777,18,0,0
88640,1528,43,0,2,5720,800,41,0,0
31891,269,56,0,0,117706,1581,34,0,0
89038,2012,46,0,5,102915,940,34,0,0
38572,1114,54,0,1,14052,1829,41,0,0
118175,1191,52,0,5,74980,909,43,0,0
51618,754,63,0,20,40447,1326,26,0,0
127470,1568,20,0,1,5312,2081,73,0,0
70862,1380,42,0,2,112231,1070,19,0,0
57950,1928,29,0,8,95488,881,20,0,0
33603,615,34,0,1,106490,346,31,0,0
89674,709,45,0,0,68465,1368,36,0,0
129556,1984,202,0,1,93120,622,44,0,0
106791,2150,36,0,2,88073,799,104,0,0
97286,1729,30,0,2,99301,2456,60,0,0
112675,1373,39,0,4,111149,389,46,0,0
49727,1382,42,0,10,94074,1146,39,0,0
104131,2194,54,0,3,99782,740,59,0,0
78853,2578,38,0,0,64608,644,17,0,0
122253,1282,39,0,0,104239,792,50,0,0
98068,190,35,0,0,125874,2212,91,0,0
60075,844,71,0,0,116285,1517,20,0,0
97005,1259,93,0,0,103608,939,49,0,0
112846,1803,37,0,6,83846,185,89,0,0
128297,1706,73,0,4,61415,584,52,0,0
73361,850,31,0,2,60502,925,24,0,0
120531,1573,34,0,15,34511,948,30,0,0
50270,667,72,0,3,52955,1212,22,0,0
73644,1703,27,0,2,106808,1703,50,0,0
63860,1105,67,0,2,127253,1567,80,0,0
66485,861,93,0,0,127183,1801,50,0,0
61527,2011,54,0,2,108375,1606,43,0,0
12746,1013,27,0,7,56821,1362,51,0,0
130132,1045,59,0,2,82714,931,49,0,0
40386,1099,280,0,4,96563,1303,45,0,0
123057,1604,33,0,7,81873,1347,42,0,0
67840,1552,49,0,1,122820,1568,36,0,0
39995,1805,65,0,1,129822,2074,19,0,0
125994,1726,46,0,6,114421,1229,54,0,0
41572,2125,73,0,7,15883,679,50,0,0
119237,664,42,0,1,123079,983,50,0,0
80358,1624,19,0,9,107276,1323,50,0,0
91516,1365,30,0,4,115456,2507,25,0,0
97445,1921,34,0,1,103646,1432,58,0,0
117259,658,29,0,1,71892,893,48,0,0
61388,995,41,0,8,54547,536,47,0,0
47829,1519,73,0,1,130402,586,28,0,0
130356,1452,15,0,2,120490,943,29,0,0
110068,1800,71,0,25,71636,236,68,0,0
111785,1360,25,0,0,72475,1753,33,0,0
125094,1674,24,0,1,123803,1629,28,0,0
10460,1152,35,0,0,115454,1751,29,0,0
52949,1190,16,0,4,88491,2694,59,0,0
68623,997,74,0,5,8164,1968,55,0,0
65875,557,75,0,1,50003,972,61,0,0
80468,1446,79,0,2,53358,624,46,0,0
103280,1133,45,0,3,74238,1400,38,0,0
99675,764,33,0,7,105572,1090,48,0,0
79728,1124,49,0,5,82080,1568,31,0,0
105182,1083,39,0,0,82061,1175,38,0,0
130548,184,82,0,4,10348,1388,27,0,0
110949,1110,38,0,7,64588,724,27,0,0
32241,570,51,0,11,101522,2107,32,0,0
125357,2102,35,0,3,72785,1897,58,0,0
123210,1863,46,0,5,119276,2135,74,0,0
36803,1515,26,0,1,93679,149,32,0,0
68366,698,46,0,2,118929,983,18,0,0
119528,661,40,0,5,71757,1666,40,0,0
84775,117,113,0,2,87117,2054,28,0,0
116244,1950,27,0,1,94941,1049,70,0,0
112451,256,47,0,1,32565,101,61,0,0
132903,540,42,0,2,133873,1730,49,0,0
32833,522,59,0,1,99965,1516,75,0,0
126648,2503,39,0,4,88361,1095,33,0,0
77315,1788,48,0,2,121496,1176,57,0,1
105159,1503,42,0,2,121924,1198,18,0,0
58941,961,83,0,11,105610,1036,23,0,0
113671,1113,17,0,0,40748,1322,42,0,0
49719,1458,26,0,1,117085,562,75,0,0
121020,1868,18,0,0,108606,819,45,0,0
128768,869,77,0,1,15203,272,33,0,0
81302,1155,51,0,0,91236,858,26,0,0
91413,1013,51,0,3,67264,1240,35,0,0
95354,876,72,0,2,41012,1785,64,0,0
133662,1045,25,0,2,127864,711,64,0,0
130874,2141,39,0,3,74421,733,47,0,0
69497,1767,79,0,1,96212,808,45,0,1
53703,2565,36,0,5,49969,1704,25,0,0
50974,1573,32,0,2,38165,2590,50,0,0
102767,1487,58,0,2,95094,612,54,0,0
51043,256,28,0,0,112889,521,66,0,0
102351,767,42,0,8,127915,1427,66,0,0
94374,843,27,0,1,74372,1857,45,0,1
123138,986,44,0,6,6317,421,38,0,0
117611,1755,28,0,2,112558,773,31,0,0
119267,954,21,0,1,135688,1405,227,0,0
81735,1230,28,0,1,126784,900,57,0,0
49424,2046,91,0,1,41573,2350,47,0,0
31760,1978,68,0,4,40667,1636,37,0,0
79856,1657,50,0,8,64915,634,41,0,0
35043,105,65,0,0,110209,1407,46,0,0
77477,869,20,0,0,73222,953,40,0,0
113777,629,653,0,1,40968,1344,58,0,0
135511,1337,37,0,5,118641,346,38,0,0
51088,1301,57,0,1,98745,757,35,0,0
31698,875,26,0,6,135775,862,31,0,1
80866,2085,40,0,0,110232,1749,30,0,0
41066,2320,60,0,1,67370,1273,27,0,0
134339,1049,40,0,0,15121,1511,71,0,0
115480,1360,24,0,0,117067,1114,24,0,0
124439,1614,65,0,1,125001,822,58,0,0
91679,1063,23,0,0,114795,1888,94,0,0
58146,446,41,0,6,15832,136,42,0,1
133609,2019,53,0,5,52006,760,37,0,0
61714,1186,56,0,5,110136,2074,36,0,0
56194,1261,25,0,0,84013,1101,25,0,0
74849,2169,67,0,1,11860,410,92,0,0
121025,1822,37,0,23,66010,1479,59,0,0
14531,2398,32,0,1,96686,888,60,0,1
70692,1617,97,0,4,123059,1421,43,0,0
96917,1006,19,0,1,112776,1905,70,0,0
103715,944,17,0,3,127688,1223,23,0,0
12833,1884,23,0,2,81580,1285,49,0,0
79744,1408,19,0,1,38948,2223,43,0,0
128806,1390,41,0,1,92656,821,27,0,0
132210,1495,52,0,2,10661,1750,38,0,0
58270,1223,46,0,4,88493,1649,35,0,0
121736,1572,27,0,7,106342,1419,18,0,0
128408,1192,16,0,7,52061,1055,64,0,0
37231,734,35,0,1,101665,885,71,0,0
136772,1451,62,0,8,63143,1049,79,0,0
11226,535,41,0,1,67718,1910,29,0,0
75834,593,82,0,1,33397,1508,33,0,0
104959,920,53,0,7,122108,2047,45,0,0
101639,2101,39,0,5,130631,303,187,0,0
88520,2150,31,0,5,79869,2230,49,0,0
71676,1879,31,0,8,113727,1155,72,0,0
122213,1261,35,0,15,96335,1033,32,0,0
79709,1493,18,0,1,118593,1385,31,0,0
102884,1293,32,0,1,69791,759,34,0,0
129362,1242,54,0,6,38437,1110,28,0,0
49957,1059,18,0,9,33140,1163,86,0,0
123255,568,17,0,2,47831,2206,54,0,0
101286,2298,21,0,3,92148,1799,74,0,0
63172,994,46,0,1,136399,1132,56,0,0
94209,2006,63,0,1,64645,1193,37,0,0
94753,1601,37,0,5,121893,742,72,0,0
83753,1225,28,0,2,88932,1382,18,0,0
103227,1757,25,0,8,77048,412,28,0,0
129357,2114,36,0,2,96802,872,47,0,0
111610,2438,23,0,6,117470,833,67,0,0
78835,1297,28,0,1,76217,616,41,0,0
123682,2475,45,0,2,101220,2047,36,0,0
83802,1502,66,0,4,58613,1777,43,0,0
48890,1206,17,0,0,105448,523,83,0,0
54824,1806,53,0,2,82919,533,39,0,0
136384,700,24,0,7,111814,691,31,0,0
49736,684,43,0,0,110079,1405,48,0,0
138815,1025,50,0,0,118529,1286,18,0,0
75167,2537,44,0,5,33733,538,68,0,0
116576,142,100,0,1,120760,656,74,0,0
62533,1085,31,0,6,133824,1235,61,0,0
124143,1184,48,0,0,108413,719,21,0,0
74355,1865,56,0,3,78296,1403,16,0,0
106599,1714,35,0,4,79904,1802,114,0,0
89019,1258,46,0,4,131951,2412,32,0,0
76721,2105,51,0,1,114183,2287,46,0,0
119079,1926,32,0,0,103758,769,27,0,0
112872,2100,34,0,4,78037,1194,31,0,0
78041,720,16,0,0,40430,819,53,0,0
123488,288,27,0,2,121654,1169,70,0,0
107141,1734,35,0,6,123864,1957,30,0,0
56620,1316,38,0,7,76886,1333,32,0,0
139911,1209,35,0,1,13083,2133,54,0,0
128540,1642,49,0,10,73689,1749,49,0,0
100581,1431,28,0,5,107332,1698,37,0,0
97627,620,51,0,5,105130,485,48,0,0
130017,688,43,0,4,136911,894,53,0,1
102162,931,32,0,1,93435,1168,58,0,0
38698,1315,37,0,6,49053,1282,28,0,0
57532,1754,25,0,7,114674,2260,14,0,0
127622,1026,82,0,1,136101,1042,48,0,0
115557,109,27,0,0,129680,925,37,0,0
85971,1338,27,0,2,125649,440,44,0,0
74664,1321,28,0,0,90970,1467,49,0,0
83504,1678,42,0,2,33600,1962,51,0,0
140721,1326,61,0,6,14340,948,91,0,0
67335,971,28,0,0,116991,590,45,0,0
8747,1295,37,0,1,34950,960,63,0,0
125838,1663,19,0,2,103305,203,34,0,0
9054,932,109,0,3,83646,738,39,0,0
103842,1190,62,0,6,131558,1429,21,0,0
121296,903,21,0,6,113395,1437,21,0,0
135386,996,43,0,2,132314,1287,34,0,0
74718,2258,77,0,1,67906,806,53,0,0
101395,1306,37,0,17,121862,1216,63,0,0
109146,463,67,0,6,112537,604,45,0,0
49734,1115,39,0,21,107993,656,59,0,0
118796,1262,64,0,0,9465,1730,59,0,0
122710,958,27,0,1,132839,1937,42,0,0
67748,901,59,0,0,106353,2102,25,0,0
108686,1972,62,0,6,111172,716,25,0,1
112238,674,40,0,1,109515,2023,21,0,0
140093,944,42,0,0,117292,1581,53,0,0
75251,1629,36,0,4,102545,807,64,0,0
124854,1485,25,0,8,108069,1142,59,0,0
113451,831,18,0,1,115582,1392,29,0,0
88078,1466,13,0,1,104827,1386,58,0,0
41445,1320,34,0,5,61016,1447,38,0,0
135300,2111,44,0,4,79958,1424,63,0,0
119681,1794,34,0,6,122736,738,33,0,0
116787,784,37,0,1,90273,1366,26,0,0
58319,1589,28,0,1,72031,1214,46,0,0
7398,1464,75,0,1,122907,894,47,0,0
112883,766,58,0,3,92843,858,45,0,0
88626,1829,39,0,8,111802,721,40,0,0
132277,1290,43,0,0,140391,2069,45,0,0
94282,1150,60,0,0,10279,876,33,0,0
103049,1347,50,0,10,125583,792,51,0,0
