summonerId1Team1,summonerElo1Team1,latence1Team1,duration1Team1,temps_exécution1Team1,summonerId2Team1,summonerElo2Team1,latence2Team1,duration2Team1,temps_exécution2Team1,summonerId3Team1,summonerElo3Team1,latence3Team1,duration3Team1,temps_exécution3Team1,summonerId4Team1,summonerElo4Team1,latence4Team1,duration4Team1,temps_exécution4Team1,summonerId5Team1,summonerElo5Team1,latence5Team1,duration5Team1,temps_exécution5Team1,summonerId1Team2,summonerElo1Team2,latence1Team2,duration1Team2,temps_exécution1Team2,summonerId2Team2,summonerElo2Team2,latence2Team2,duration2Team2,temps_exécution2Team2,summonerId3Team2,summonerElo3Team2,latence3Team2,duration3Team2,temps_exécution3Team2,summonerId4Team2,summonerElo4Team2,latence4Team2,duration4Team2,temps_exécution4Team2,summonerId5Team2,summonerElo5Team2,latence5Team2,duration5Team2,temps_exécution5Team2
62742,578,72,0,64,33481,600,50,0,62,55080,306,77,0,96,5638,1010,59,0,175,61425,854,57,0,94,11198,1159,22,0,0,64126,268,51,0,67,64480,653,41,0,74,62837,690,45,0,8,13083,2133,54,0,42
55020,609,90,0,72,88286,1894,24,0,33,64580,2452,43,0,71,78205,2157,30,0,39,59531,795,22,0,49,83504,1678,42,0,71,94645,2391,50,0,0,33866,752,35,0,4,32565,101,61,0,36,33723,1404,37,0,50
76217,616,41,0,29,83243,964,69,0,44,50625,1929,40,0,53,73892,2176,47,0,54,57596,516,16,0,68,82018,1218,21,0,34,63485,2110,24,0,35,5789,630,57,0,22,86179,596,32,0,1,84024,1245,52,0,51
105522,385,62,0,0,80937,1702,32,0,45,15163,1618,27,0,8,86649,1890,37,0,38,87948,1110,46,0,46,67542,1223,32,0,23,103795,878,50,0,12,8033,1743,19,0,3,81445,1678,33,0,24,106092,1643,53,0,20
8294,409,39,0,1,68102,1496,51,0,7,61415,584,52,0,24,86471,591,69,0,25,85228,1095,52,0,24,114588,1288,38,0,3,92084,586,71,0,0,71596,826,33,0,2,70038,973,41,0,5,54584,434,84,0,24
73279,1827,48,0,3,92276,1000,43,0,0,119237,664,42,0,11,94209,2006,63,0,34,112876,1681,47,0,5,71544,1667,44,0,1,116826,766,52,0,31,73780,1917,35,0,14,94172,1862,61,0,2,67918,983,69,0,14
107158,2146,40,0,35,95094,612,54,0,46,5961,315,38,0,25,114052,803,64,0,11,70692,1617,97,0,36,48524,1148,36,0,1,58146,446,41,0,12,113400,699,30,0,9,73738,1661,27,0,32,34017,1301,58,0,8
61601,1221,39,0,25,9905,240,52,0,55,74387,1110,33,0,47,93489,2100,28,0,30,12929,821,26,0,51,70589,1459,28,0,32,68124,383,63,0,1,97513,625,107,0,22,91921,1173,33,0,54,60242,309,68,0,36
119563,786,31,0,19,104461,1698,39,0,12,104986,2157,89,0,44,116401,874,48,0,25,80156,1375,24,0,37,12775,1064,21,0,21,84604,890,42,0,29,99557,201,119,0,15,15775,1797,72,0,0,72128,1624,30,0,9
60119,1176,40,0,0,83442,1310,32,0,38,52599,1116,38,0,9,38152,997,43,0,18,88073,799,104,0,5,118175,1191,52,0,17,109269,1389,25,0,18,94597,964,38,0,12,81373,787,46,0,20,88393,1697,42,0,1
